Trial,Response,s1,s2,s3,invord,i1,i2,i3
0,0,1.00,0.80,0.60,1,11,9,7
1,0,0.70,0.40,0.30,1,8,5,4
2,0,0.30,0.70,0.80,0,4,8,9
3,0,1.00,0.40,0.10,1,11,5,2
4,1,0.00,0.50,0.80,0,1,6,9
5,1,0.10,0.30,1.00,0,2,4,11
6,1,0.50,0.60,1.00,0,6,7,11
7,1,0.30,0.50,0.80,0,4,6,9
8,1,0.00,0.20,0.90,0,1,3,10
9,1,0.50,0.70,0.90,0,6,8,10
10,0,0.00,0.10,0.30,0,1,2,4
11,0,0.70,0.90,1.00,0,8,10,11
12,0,1.00,0.50,0.20,1,11,6,3
13,1,0.10,0.30,0.50,0,2,4,6
14,0,0.10,0.70,0.80,0,2,8,9
15,0,0.30,0.20,0.00,1,4,3,1
16,0,0.30,0.60,0.70,0,4,7,8
17,0,1.00,0.50,0.10,1,11,6,2
18,0,0.90,0.60,0.20,1,10,7,3
19,1,0.20,0.40,0.90,0,3,5,10
20,0,0.90,0.70,0.20,1,10,8,3
21,1,0.00,0.60,0.90,0,1,7,10
22,0,0.60,0.90,1.00,0,7,10,11
23,0,0.70,0.20,0.10,1,8,3,2
24,1,0.90,0.80,0.60,1,10,9,7
25,0,0.00,0.30,0.40,0,1,4,5
26,0,0.70,0.10,0.00,1,8,2,1
27,0,0.60,0.50,0.40,1,7,6,5
28,0,1.00,0.20,0.10,1,11,3,2
29,1,0.20,0.30,0.60,0,3,4,7
30,1,0.20,0.50,0.60,0,3,6,7
31,1,0.20,0.30,0.70,0,3,4,8
32,0,0.90,0.80,0.40,1,10,9,5
33,1,0.00,0.40,0.60,0,1,5,7
34,0,0.20,0.80,0.90,0,3,9,10
35,0,1.00,0.70,0.10,1,11,8,2
36,0,1.00,0.70,0.20,1,11,8,3
37,0,0.90,0.30,0.20,1,10,4,3
38,0,0.90,0.30,0.10,1,10,4,2
39,1,1.00,0.90,0.50,1,11,10,6
40,0,1.00,0.40,0.00,1,11,5,1
41,1,0.00,0.20,0.70,0,1,3,8
