Run Block Trial Response s1 s2 s3 invord i1 i2 i3 f1 f2 f3 responsetime
0 0 0 1 30.0 40.0 70.0 0 4 5 8 1 9 14 1.10706210136
0 0 1 0 70.0 10.0 0.0 1 8 2 1 2 10 12 1.11647105217
0 0 2 1 0.0 20.0 30.0 0 1 3 4 1 4 14 3.08494114876
0 0 3 1 20.0 30.0 70.0 0 3 4 8 0 9 11 1.22169995308
0 0 4 0 70.0 30.0 0.0 1 8 4 1 4 13 14 0.996841192245
0 0 5 1 20.0 50.0 70.0 0 3 6 8 8 10 14 2.12390708923
0 0 6 0 50.0 20.0 10.0 1 6 3 2 3 5 12 3.7169470787
0 0 7 0 10.0 50.0 60.0 0 2 6 7 0 10 13 4.12609291077
0 0 8 1 10.0 20.0 60.0 0 2 3 7 6 12 13 1.4088280201
0 0 9 0 0.0 60.0 70.0 0 1 7 8 0 1 10 1.71774196625
0 0 10 1 0.0 30.0 60.0 0 1 4 7 9 12 13 1.43539810181
0 0 11 1 20.0 40.0 60.0 0 3 5 7 7 9 11 3.0464861393
0 0 12 0 30.0 10.0 0.0 1 4 2 1 3 8 10 4.50837993622
0 0 13 0 70.0 50.0 40.0 1 8 6 5 5 8 11 4.51332998276
0 0 14 0 50.0 40.0 0.0 1 6 5 1 1 2 11 4.0931019783
0 0 15 0 70.0 20.0 0.0 1 8 3 1 5 6 9 3.2880730629
0 0 16 0 40.0 60.0 70.0 0 5 7 8 3 10 12 7.88424611092
0 0 17 0 60.0 10.0 0.0 1 7 2 1 3 7 10 3.47804808617
0 0 18 0 60.0 40.0 10.0 1 7 5 2 2 4 12 4.05811810493
0 0 19 1 50.0 60.0 70.0 0 6 7 8 2 9 14 11.3817110062
0 0 20 1 0.0 40.0 70.0 0 1 5 8 4 5 9 3.31283211708
0 0 21 0 60.0 40.0 30.0 1 7 5 4 2 7 14 2.42128491402
0 0 22 0 60.0 20.0 0.0 1 7 3 1 6 10 12 1.72915291786
0 0 23 0 60.0 50.0 0.0 1 7 6 1 5 10 11 2.12894105911
0 0 24 0 70.0 60.0 30.0 1 8 7 4 0 2 7 5.05704283714
0 0 25 1 10.0 30.0 50.0 0 2 4 6 3 4 6 1.80854511261
0 0 26 0 50.0 30.0 20.0 1 6 4 3 1 5 9 1.37094807625
0 0 27 1 0.0 20.0 40.0 0 1 3 5 0 5 10 2.31660699844
0 0 28 0 60.0 50.0 20.0 1 7 6 3 1 3 7 6.27836298943
0 0 29 1 70.0 60.0 20.0 1 8 7 3 2 7 10 2.98971104622
0 0 30 1 30.0 50.0 70.0 0 4 6 8 3 9 11 3.02953696251
0 0 31 0 10.0 60.0 70.0 0 2 7 8 0 3 13 4.87423586845
0 0 32 1 20.0 30.0 40.0 0 3 4 5 0 1 7 2.31711292267
0 0 33 0 40.0 20.0 10.0 1 5 3 2 1 6 13 1.98958683014
0 0 34 0 50.0 40.0 30.0 1 6 5 4 0 3 10 3.48613095284
0 0 35 0 50.0 20.0 0.0 1 6 3 1 1 5 13 2.89692902565
0 0 36 1 20.0 40.0 70.0 0 3 5 8 6 9 12 2.81896400452
0 0 37 0 10.0 40.0 50.0 0 2 5 6 0 8 14 9.07611608505
0 0 38 1 10.0 30.0 60.0 0 2 4 7 0 8 9 1.14110422134
0 0 39 1 10.0 20.0 70.0 0 2 3 8 1 9 13 1.1034681797
0 0 40 0 30.0 20.0 10.0 1 4 3 2 0 4 13 6.20635700226
0 0 41 1 20.0 30.0 60.0 0 3 4 7 4 6 11 1.76889395714
0 0 42 1 10.0 30.0 70.0 0 2 4 8 3 4 10 2.23826384544
0 0 43 1 0.0 40.0 60.0 0 1 5 7 12 13 14 1.03891205788
0 0 44 0 70.0 50.0 0.0 1 8 6 1 1 2 8 1.55339884758
0 0 45 0 40.0 30.0 0.0 1 5 4 1 0 4 14 1.65786218643
0 0 46 0 60.0 50.0 30.0 1 7 6 4 1 3 13 4.83022093773
0 0 47 0 70.0 50.0 10.0 1 8 6 2 4 8 13 5.09154987335
0 0 48 0 50.0 10.0 0.0 1 6 2 1 2 6 13 1.32665395737
0 0 49 1 0.0 10.0 40.0 0 1 2 5 3 11 12 2.10792803764
0 0 50 1 20.0 40.0 50.0 0 3 5 6 2 8 9 8.0479528904
0 0 51 0 40.0 30.0 10.0 1 5 4 2 3 4 13 3.59148001671
0 0 52 1 0.0 30.0 50.0 0 1 4 6 4 7 8 1.76467704773
0 0 53 0 60.0 50.0 40.0 1 7 6 5 3 8 12 5.10632610321
0 0 54 1 10.0 40.0 70.0 0 2 5 8 0 3 12 1.28773093224
0 0 55 0 20.0 10.0 0.0 1 3 2 1 7 10 12 10.2063949108
0 1 0 1 30.0 40.0 70.0 0 4 5 8 4 5 14 0.865910053253
0 1 1 0 70.0 10.0 0.0 1 8 2 1 5 7 13 0.887270212173
0 1 2 1 0.0 20.0 30.0 0 1 3 4 2 5 10 2.64715886116
0 1 3 1 20.0 30.0 70.0 0 3 4 8 3 4 7 3.09351491928
0 1 4 0 70.0 30.0 0.0 1 8 4 1 8 9 10 1.07380795479
0 1 5 0 20.0 50.0 70.0 0 3 6 8 1 2 4 9.68390989304
0 1 6 0 50.0 20.0 10.0 1 6 3 2 0 2 3 1.80558896065
0 1 7 0 10.0 50.0 60.0 0 2 6 7 5 7 9 2.48576402664
0 1 8 1 10.0 20.0 60.0 0 2 3 7 1 5 14 2.57037210464
0 1 9 0 0.0 60.0 70.0 0 1 7 8 2 6 12 1.8018040657
0 1 10 1 0.0 30.0 60.0 0 1 4 7 6 8 14 2.30927705765
0 1 11 1 20.0 40.0 60.0 0 3 5 7 1 3 9 6.21610808372
0 1 12 0 30.0 10.0 0.0 1 4 2 1 3 7 12 1.36660695076
