Run Block Trial Response s1 s2 s3 invord i1 i2 i3 f1 f2 f3 responsetime
0 0 0 0 70.0 40.0 0.0 1 8 5 1 1 2 4 1.29146003723
0 0 1 0 50.0 20.0 10.0 1 6 3 2 2 4 14 1.88541793823
0 0 2 1 70.0 60.0 10.0 1 8 7 2 5 6 8 1.43119215965
0 0 3 1 0.0 20.0 70.0 0 1 3 8 1 2 10 1.14692211151
0 0 4 1 50.0 60.0 70.0 0 6 7 8 1 2 6 6.51209306717
0 0 5 0 70.0 50.0 40.0 1 8 6 5 5 10 11 1.54409193993
0 0 6 1 30.0 40.0 50.0 0 4 5 6 3 8 11 5.7967338562
0 0 7 1 0.0 10.0 40.0 0 1 2 5 6 9 11 2.13685512543
0 0 8 0 60.0 30.0 10.0 1 7 4 2 4 12 13 1.71113991737
0 0 9 1 10.0 20.0 30.0 0 2 3 4 6 11 14 3.76164793968
0 0 10 0 70.0 50.0 30.0 1 8 6 4 0 1 8 2.50564002991
0 0 11 0 60.0 40.0 30.0 1 7 5 4 3 6 8 2.53774094582
0 0 12 1 60.0 50.0 20.0 1 7 6 3 1 9 12 3.48814916611
0 0 13 0 60.0 40.0 0.0 1 7 5 1 4 10 12 2.39215517044
0 0 14 1 10.0 30.0 40.0 0 2 4 5 4 7 10 3.05704092979
0 0 15 0 30.0 10.0 0.0 1 4 2 1 0 8 11 2.98164510727
0 0 16 0 10.0 40.0 50.0 0 2 5 6 8 9 11 7.80021214485
0 0 17 0 50.0 10.0 0.0 1 6 2 1 5 8 11 2.39062595367
0 0 18 0 50.0 30.0 0.0 1 6 4 1 4 9 10 2.460916996
0 0 19 0 70.0 50.0 20.0 1 8 6 3 6 9 14 1.04212498665
0 0 20 0 70.0 30.0 0.0 1 8 4 1 3 5 7 0.931044101715
0 0 21 1 60.0 50.0 0.0 1 7 6 1 0 8 9 5.48206591606
0 0 22 1 20.0 30.0 40.0 0 3 4 5 5 6 7 9.37549304962
0 0 23 1 0.0 30.0 40.0 0 1 4 5 0 13 14 7.81317996979
0 0 24 0 60.0 40.0 20.0 1 7 5 3 1 4 6 1.30156493187
0 0 25 0 70.0 50.0 0.0 1 8 6 1 0 3 13 0.925567865372
0 0 26 1 10.0 20.0 40.0 0 2 3 5 4 5 6 1.62565279007
0 0 27 0 70.0 40.0 20.0 1 8 5 3 2 5 11 0.750704050064
0 0 28 1 40.0 50.0 60.0 0 5 6 7 4 6 14 6.07188391685
0 0 29 1 0.0 20.0 50.0 0 1 3 6 8 9 12 1.27437996864
