Trial Response s1 s2 s3 invord i1 i2 i3
0 0 0.90 0.70 0.10 1 10 8 2
1 0 0.60 0.50 0.40 1 7 6 5
2 1 0.70 0.60 0.30 1 8 7 4
3 1 0.10 0.40 0.60 0 2 5 7
4 1 0.20 0.30 1.00 0 3 4 11
5 1 0.70 0.40 0.00 1 8 5 1
6 1 0.20 0.30 0.40 0 3 4 5
7 1 0.90 0.70 0.60 1 10 8 7
8 0 0.90 0.70 0.00 1 10 8 1
9 1 0.00 0.50 1.00 0 1 6 11
10 0 0.90 0.30 0.20 1 10 4 3
11 0 0.10 0.80 0.90 0 2 9 10
12 1 0.10 0.50 0.90 0 2 6 10
13 1 0.10 0.40 0.80 0 2 5 9
14 1 0.00 0.60 0.80 0 1 7 9
15 1 0.00 0.30 0.50 0 1 4 6
16 0 0.30 0.60 0.80 0 4 7 9
17 1 1.00 0.80 0.30 1 11 9 4
18 0 0.40 0.30 0.00 1 5 4 1
19 0 1.00 0.10 0.00 1 11 2 1
20 0 0.20 0.50 0.90 0 3 6 10
21 1 0.10 0.70 1.00 0 2 8 11
22 1 0.90 0.80 0.00 1 10 9 1
23 1 0.00 0.50 0.90 0 1 6 10
24 1 0.00 0.60 0.70 0 1 7 8
25 0 0.70 0.80 0.90 0 8 9 10
26 0 0.80 0.40 0.30 1 9 5 4
27 0 0.90 0.60 0.10 1 10 7 2
28 0 1.00 0.50 0.20 1 11 6 3
29 1 0.50 0.40 0.30 1 6 5 4
30 0 0.80 0.70 0.50 1 9 8 6
31 1 0.70 0.90 1.00 0 8 10 11
32 1 0.90 0.80 0.30 1 10 9 4
33 0 0.60 0.20 0.10 1 7 3 2
34 0 0.30 0.50 0.70 0 4 6 8
35 0 0.60 0.30 0.20 1 7 4 3
36 1 0.00 0.30 0.90 0 1 4 10
37 0 0.90 0.60 0.50 1 10 7 6
38 0 0.10 0.40 0.50 0 2 5 6
39 1 0.00 0.40 0.90 0 1 5 10
40 0 0.90 0.10 0.00 1 10 2 1
41 1 0.40 0.70 0.80 0 5 8 9
42 0 0.20 0.60 0.70 0 3 7 8
